cap,cap_percent,selection_path_count,holdout_path_count,observed_control_action_path_count,selection_value_semantics,holdout_value_semantics,economically_active,is_optimal_first_year_cap,outer_fold_pure,outer_fold_count,csm_derived_from_components,selection_estimated_q_new_business_csm_proxy_aud,selection_standard_error_new_business_csm_proxy_aud,holdout_estimated_q_new_business_csm_proxy_aud,holdout_estimated_q_fees_product_aud,holdout_estimated_q_fees_lip_aud,holdout_estimated_q_crediting_margin_aud,holdout_estimated_q_mva_retained_aud,holdout_estimated_q_aps_retained_aud,holdout_estimated_q_guarantee_claims_aud,holdout_estimated_q_other_insurer_funded_benefits_aud,holdout_estimated_q_expenses_aud,holdout_estimated_q_hedge_costs_aud,holdout_standard_error_new_business_csm_proxy_aud
0.09999999999999999,10.0,200,200,200,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81447.06804366129,1095.9465981244252,81447.06804366129,7964.17066617608,30529.320887008304,142874.345623845,699.4871550661275,0.0,46242.23594694892,0.0,9243.641070578708,45134.37927090658,1095.9465981244252
0.11,11.0,201,201,201,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,80544.50738122438,1039.8786134898605,80544.50738122438,7925.878333857313,30382.533613119696,142525.07862713613,698.1933067229072,0.0,46656.44862302163,0.0,9241.415299640288,45089.31257694974,1039.8786134898605
0.12,12.0,197,197,197,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81323.23779113991,933.1379856394808,81323.23779113991,8003.662435318253,30680.7060020533,142791.08372698445,685.8918031059987,0.0,46572.01022581894,0.0,9263.708954904634,45002.38699559856,933.1379856394808
0.13,13.0,205,205,205,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,84236.96041610895,1420.1254760481036,84236.96041610895,7989.995597995607,30628.316458983165,146556.25600158324,710.1812701277024,0.0,45584.50473146423,0.0,9238.806951202285,46824.47722991427,1420.1254760481036
0.14,14.000000000000002,212,212,212,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81621.95789594503,1116.473348908209,81621.95789594503,8003.561074604159,30680.317452649284,143317.73848356406,687.7347595156933,0.0,46602.90432742896,0.0,9261.904585248267,45202.58496171092,1116.473348908209
0.15000000000000002,15.000000000000002,197,197,197,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81445.89081509657,968.664496465916,81445.89081509657,8013.013987094877,30716.55361719703,143198.7005300269,690.3755051720774,0.0,46645.13824611924,0.0,9267.901776992967,45259.71280128211,968.664496465916
0.16,16.0,194,194,194,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81975.3825206284,943.2455990378058,81975.3825206284,7904.4372973355,30300.342973119426,143903.0963167325,709.0008272482079,0.0,46645.060935550224,0.0,9240.444454071856,44955.98950418514,943.2455990378058
0.17,17.0,192,192,192,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,80519.23780819577,933.5188467255018,80519.23780819577,7907.986843278082,30313.949565899322,142511.15954896357,698.8661341138749,0.0,46994.81235912331,0.0,9245.981676489346,44671.93024844644,933.5188467255018
0.18000000000000002,18.000000000000004,185,185,185,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,83827.14293592394,1338.3840874651937,83827.14293592394,7961.91060140238,30520.6573053758,146508.94396327416,712.2931168403741,0.0,45658.56421386652,0.0,9234.136163507204,46983.96167359504,1338.3840874651937
0.19,19.0,198,198,198,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,82226.84402630267,1033.1844430986448,82226.84402630267,7951.439372058139,30480.517592889544,144773.40131432252,703.2562381601058,0.0,46256.52269455468,0.0,9244.058576665691,46181.189219907275,1033.1844430986448
0.2,20.0,195,195,195,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,80843.8385448335,1098.3730765552937,80843.8385448335,8005.075577416053,30686.123046761542,143062.05399974633,686.885646913449,0.0,46419.91626029633,0.0,9259.820345013144,45916.563120694394,1098.3730765552937
